title,price,count,rating,info_dict
Куртка зимняя со съёмным капюшоном,3960,684,4.5,"{'Цвет': 'бежевый', 'Размер на модели': '54', 'Рост модели на фото': '174 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '120-86-126', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'от 0 °C до -30 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Особенности модели': 'классическая куртка', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'с капюшоном', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон; зима; круглогодичный', 'Артикул': '184974740', 'Состав': 'холлофайбер, полиэстер, акрил'}"
Мужская куртка из экокожи с капюшоном,5199,20,5,"{'Цвет': 'черный', 'Утеплитель': 'полиэстер', 'Плотность синтетического утеплителя': '450 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон; зима', 'Артикул': '188355656', 'Состав': 'полиэстер 100%'}"
Пальто длинное зимнее с капюшоном утепленное,6080,44,4.4,"{'Размер на модели': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': 'оверсайз', 'Утеплитель': 'высококачественный жемчужный хлопок 100 %', 'Температурный режим': 'до -25', 'Плотность синтетического утеплителя': '400 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'влагозащитный', 'Опции капюшона': 'несъемный капюшон', 'Длина изделия по спинке': '90 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'теплое', 'Тип карманов': 'накладные', 'Конструктивные элементы': 'оверсайз', 'Сезон': 'зима', 'Артикул': '178892158', 'Состав': 'полиэстер 65 %, хлопок 35%'}"
Куртка зимняя длинная с капюшоном из меха,2980,262,4.7,"{'Размер на модели': '152', 'Рост модели на фото': '147 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '96-77-97', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'от -5 °C до -30 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'флис', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'теплостойкий', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'съемный', 'Декоративные элементы': 'логотип adidas nike the north face', 'Тип карманов': 'накладные', 'Сезон': 'зима', 'Артикул': '178302397', 'Состав': 'полиэстер'}"
Куртка зимняя с капюшоном дутая,3199,982,4.8,"{'Утеплитель': 'био пух', 'Температурный режим': 'от -10 °C до -30 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'непромокаемая', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'съемная опушка', 'Декоративные элементы': 'удлиненная', 'Тип карманов': 'прорезные', 'Сезон': 'зима', 'Артикул': '178666477', 'Состав': 'полиэстер'}"
Пальто зимнее двустороннее утепленное с капюшоном экомех,12960,2562,4.8,"{'Цвет': 'белый', 'Вид застежки': 'молния', 'Сезон': 'зима', 'Артикул': '194971898'}"
Куртка-бомбер оверсайз с трикотажным капюшоном,2859,404,4.6,"{'Цвет': 'хаки', 'Размер на модели': 'S', 'Рост модели на фото': '176 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '84-63-90', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Декоративные элементы': 'без элементов', 'Тип карманов': 'прорезные', 'Сезон': 'круглогодичный', 'Артикул': '169093332', 'Состав': 'полиамид 100%'}"
Пальто зимнее женское осень экошуба шуба искусственная,9800,1399,4.4,"{'Размер на модели': '42', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '90-60-90', 'Утеплитель': 'эко-мех', 'Температурный режим': 'от +15 до -15', 'Материал подкладки': 'эко замша', 'Страна производства': 'Россия', 'Вид застежки': 'пуговицы; ремень', 'Особенности модели': 'износостойкий материал', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '110 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'пояс', 'Тип карманов': 'накладные', 'Конструктивные элементы': 'с разрезом', 'Сезон': 'демисезон; круглогодичный; зима', 'Артикул': '35822740', 'Состав': 'полиэстер'}"
Пуховик длинный приталенный,13634,477,4.7,"{'Цвет': 'фисташковый; черный; пыльно-оливковый; глубокий черный', 'Размер на модели': '42 ( 173 рост )', 'Рост модели на фото': '173 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '84-66-92', 'Утеплитель': 'Био-Пух', 'Температурный режим': 'от 0 до - 30 С', 'Плотность синтетического утеплителя': '400 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'Полиэстер -100%', 'Вид застежки': 'кнопки и молния', 'Опции капюшона': 'не съемный', 'Опции опушки': 'Без опушки и меха', 'Тип карманов': 'В шве, скрытые карманы', 'Сезон': 'зима', 'Артикул': '118084827', 'Состав': 'полиэстер 100%'}"
Пальто синее зимнее с капюшоном,5568,33,4.5,"{'Цвет': 'серебро; черный', 'Размер на модели': '62', 'Рост модели на фото': '165 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '62', 'Утеплитель': 'синтепон', 'Температурный режим': 'до -20 градусов', 'Плотность синтетического утеплителя': '500 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Киргизия', 'Вид застежки': 'молния', 'Особенности модели': 'удлиненная', 'Опции капюшона': 'несъемный капюшон', 'Длина изделия по спинке': '125 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'надписи; принт', 'Тип карманов': 'накладные', 'Конструктивные элементы': 'Капюшон', 'Сезон': 'зима', 'Артикул': '140089576', 'Состав': 'полиэстер'}"
